,,, ,rf,FPT,HPG,BMP,GAS,MWG,PTB,IMP,MSN,VCB,VNM,"AVERAGE
",,,,,,
,,,E(r),0.58%,3.30%,2.26%,2.63%,0.66%,1.09%,1.57%,1.27%,0.55%,1.79%,-0.29%,1.40%,,,,,,
,,,𝞼,0%,8.29%,11.74%,10.68%,9.68%,12.82%,10.53%,9.06%,11.29%,7.85%,5.77%,8.88%,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,No.,Combination,Stock i,Stock j,Stock k,wi,wj,wk,Total,E(ri),E(rj),E(rk),𝞼i,𝞼j,𝞼k,"Cov(i,j)","Cov(i,k)","Cov(j,k)",E(rp),𝞼p,Sharpe ratio
,100,GAS-VCB-VNM,GAS,VCB,VNM,5%,90%,5%,100%,0.66%,1.79%,-0.29%,9.68%,7.85%,5.77%,0.42%,0.24%,0.20%,1.63%,7.48%,14.05%
,101,MWG-PTB-IMP,MWG,PTB,IMP,5%,57%,38%,100%,1.09%,1.57%,1.27%,12.82%,10.53%,9.06%,0.88%,0.41%,0.44%,1.43%,8.59%,9.89%
,102,MWG-PTB-MSN,MWG,PTB,MSN,5%,90%,5%,100%,1.09%,1.57%,0.55%,12.82%,10.53%,11.29%,0.88%,0.54%,0.30%,1.50%,10.07%,9.07%
,103,MWG-PTB-VCB,MWG,PTB,VCB,5%,10%,85%,100%,1.09%,1.57%,1.79%,12.82%,10.53%,7.85%,0.88%,0.34%,0.37%,1.74%,7.49%,15.40%
,104,MWG-PTB-VNM,MWG,PTB,VNM,5%,90%,5%,100%,1.09%,1.57%,-0.29%,12.82%,10.53%,5.77%,0.88%,0.26%,0.18%,1.45%,10.00%,8.72%
,105,MWG-IMP-MSN,MWG,IMP,MSN,11%,84%,5%,100%,1.09%,1.27%,0.55%,12.82%,9.06%,11.29%,0.41%,0.54%,0.29%,1.21%,8.42%,7.49%
,106,MWG-IMP-VCB,MWG,IMP,VCB,5%,10%,85%,100%,1.09%,1.27%,1.79%,12.82%,9.06%,7.85%,0.41%,0.34%,0.25%,1.71%,7.30%,15.40%
,107,MWG-IMP-VNM,MWG,IMP,VNM,11%,84%,5%,100%,1.09%,1.27%,-0.29%,12.82%,9.06%,5.77%,0.41%,0.26%,0.15%,1.17%,8.32%,7.08%
,108,MWG-MSN-VCB,MWG,MSN,VCB,5%,5%,90%,100%,1.09%,0.55%,1.79%,12.82%,11.29%,7.85%,0.54%,0.34%,0.11%,1.70%,7.41%,15.03%
,109,MWG-MSN-VNM,MWG,MSN,VNM,90%,5%,5%,100%,1.09%,0.55%,-0.29%,12.82%,11.29%,5.77%,0.54%,0.26%,0.11%,1.00%,11.86%,3.48%
